LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL
124514197012017081613245203019337,ADJACENT TO 24 BRENDA ROAD AND FORMERLY,Cleveland Wholesale Stationers,Brenda Road,TS25 1QE,370373530001,92,D,B1 Offices and Workshop businesses,2017-08-01,E06000001,E14000733,,2017-08-16,Mandatory issue (Property to let).,17,50,3,Biomass,,,,450,29.49,10.11,29.63,54.43,No,,,4,Heating and Natural Ventilation,"ADJACENT TO 24 BRENDA ROAD AND FORMERLY, Cleveland Wholesale Stationers, Brenda Road",Hartlepool,Hartlepool
125577270502017091917014258800910,,1-2 Cedar Lodge,White Thorn Gardens,TS25 1FB,454657850000,25,A,C2 Residential Institutions - Hospitals and Care Homes,2017-09-18,E06000001,E14000733,,2017-09-19,Mandatory issue (Property on construction).,26,76,4,Natural Gas,,,,394,83.98,43.31,126.92,42.43,No,,,4,Heating and Natural Ventilation,"1-2 Cedar Lodge, White Thorn Gardens",Hartlepool,Hartlepool
121476962212017110308490203909377,,37 Church Street,,TS24 7DG,373523270000,95,D,A1/A2 Retail and Financial/Professional services,2017-10-26,E06000001,E14000733,,2017-11-03,Mandatory issue (Property to let).,33,95,3,Grid Supplied Electricity,,,,130,30.33,19.74,57.86,57.84,No,,,4,Heating and Natural Ventilation,37 Church Street,Hartlepool,Hartlepool
122319930962017101023130607000420,,McKenzie House,17 Kendal Road,TS25 1QU,209938730000,73,C,B1 Offices and Workshop businesses,2017-10-04,E06000001,E14000733,,2017-10-10,Mandatory issue (Marketed sale).,27,79,3,Natural Gas,,,,383,36.22,19.44,56.97,52.55,No,,,4,Heating and Natural Ventilation,"McKenzie House, 17 Kendal Road",Hartlepool,Hartlepool
12255830402009102905490852809200,,Unit 1B,Rivergreen Business Centre,TS25 2DL,946383850000,37,B,Warehouse and storage,2009-10-22,E06000001,E14000733,,2009-10-29,,33,66,3,Natural Gas,,,,401,,,,,No,,,4,Heating and Natural Ventilation,"Unit 1B, Rivergreen Business Centre",Hartlepool,Hartlepool
118577520442017051708374844700990,,"75, King Oswy Drive",,TS24 9PF,540102740000,87,D,A1/A2 Retail and Financial/Professional services,2017-01-14,E06000001,E14000733,,2017-05-17,Mandatory issue (Non-marketed sale).,31,91,3,Grid Supplied Electricity,,,,61,53.94,33.55,98.31,93.4,No,,,4,Heating and Natural Ventilation,"75, King Oswy Drive",Hartlepool,Hartlepool
118632110902017010610330644409920,,Unit T,Tees Bay Business Park,TS25 2BU,393921440000,95,D,B2 to B7 General Industrial and Special Industrial Groups,2016-12-14,E06000001,E14000733,,2017-01-06,Mandatory issue (Property to let).,26,75,3,Grid Supplied Electricity,,,,682,29.01,14.91,43.7,55.15,No,,,4,Heating and Natural Ventilation,"Unit T, Tees Bay Business Park",Hartlepool,Hartlepool
118641020542017010812545144509920,,Unit H,Tees Bay Business Park,TS25 2BU,750542540000,64,C,B8 Storage or Distribution,2016-12-14,E06000001,E14000733,,2017-01-08,Mandatory issue (Property to let).,26,75,3,Natural Gas,,,,8599,35.85,18.41,53.94,45.61,No,,,4,Heating and Natural Ventilation,"Unit H, Tees Bay Business Park",Hartlepool,Hartlepool
118644200302017010610400124909920,,Unit M,Tees Bay Business Park,TS25 2BU,934690920000,105,E,B8 Storage or Distribution,2016-12-14,E06000001,E14000733,,2017-01-06,Mandatory issue (Property to let).,60,175,3,Other,,,,202,2.76,3.3,9.67,5.82,No,,,4,Unconditioned,"Unit M, Tees Bay Business Park",Hartlepool,Hartlepool
118903010022017020312494892790030,,Corporation Welfare Club,Whitby Street,TS24 7AB,392612290000,85,D,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2017-01-30,E06000001,E14000733,,2017-02-03,Mandatory issue (Marketed sale).,35,102,3,Natural Gas,,,,824,127.96,88.71,259.97,216.97,No,,,4,Heating and Natural Ventilation,"Corporation Welfare Club, Whitby Street",Hartlepool,Hartlepool
119809279912017022614390202009666,,Unit 2,Anchor Retail Park,TS24 0XR,660792960000,52,C,A1/A2 Retail and Financial/Professional services,2017-02-13,E06000001,E14000733,,2017-02-26,Mandatory issue (Marketed sale).,23,67,3,Natural Gas,,,,1506,55.12,25.22,73.91,57.88,No,,,4,Heating and Natural Ventilation,"Unit 2, Anchor Retail Park",Hartlepool,Hartlepool
