PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,124514197012017081613245203019337,1,EPC-H2,Add time control to heating system.,LOW
LONG,124514197012017081613245203019337,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,124514197012017081613245203019337,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,124514197012017081613245203019337,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,124514197012017081613245203019337,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,124514197012017081613245203019337,2,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,124514197012017081613245203019337,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
SHORT,124514197012017081613245203019337,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
MEDIUM,124514197012017081613245203019337,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,124514197012017081613245203019337,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,124514197012017081613245203019337,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,124514197012017081613245203019337,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,124514197012017081613245203019337,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,124514197012017081613245203019337,5,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,124514197012017081613245203019337,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,124514197012017081613245203019337,7,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,125577270502017091917014258800910,1,EPC-R3,Consider installing solar water heating.,LOW
LONG,125577270502017091917014258800910,2,EPC-R4,Consider installing PV.,LOW
SHORT,121476962212017110308490203909377,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,121476962212017110308490203909377,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,121476962212017110308490203909377,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,121476962212017110308490203909377,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,121476962212017110308490203909377,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,121476962212017110308490203909377,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,121476962212017110308490203909377,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,121476962212017110308490203909377,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,122319930962017101023130607000420,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,122319930962017101023130607000420,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,122319930962017101023130607000420,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,122319930962017101023130607000420,2,EPC-R5,Consider installing an air source heat pump.,HIGH
